[32m[2026-06-12T10:33:32.830Z]  INFO: Requesting https://www.bgee.org/sparql { headers: { accept: 'application/n-quads,application/trig;q=0.95,application/ld+json;q=0.9,application/n-triples;q=0.8,text/turtle;q=0.6,application/rdf+xml;q=0.5,text/n3;q=0.35,application/xml;q=0.3,image/svg+xml;q=0.3,text/xml;q=0.3,text/html;q=0.2,application/xhtml+xml;q=0.18,application/json;q=0.135,text/shaclc;q=0.1,text/shaclc-ext;q=0.05', 'user-agent': 'Comunica/4.0 (linux; x64) ActorHttpFetch/4.4.1 Node.js/24' }, method: undefined, actor: 'urn:comunica:default:http/actors#fetch' }
[0m[90m[2026-06-12T10:33:32.909Z]  DEBUG: Delaying request { url: 'https://www.bgee.org/sparql?query=ASK%20WHERE%20%7B%20%3Fcluster%20%3Chttp%3A%2F%2Fpurl.org%2Fnet%2Forth%23hasHomologousMember%3E%20%3Fnode2.%20%7D', requestInterval: 63, currentDelay: 754, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-06-12T10:33:32.909Z]  DEBUG: Delaying request { url: 'https://www.bgee.org/sparql?query=ASK%20WHERE%20%7B%20%3Fs%20%3Chttp%3A%2F%2Fpurl.org%2Fnet%2Forth%23hasHomologousMember%3E%20%3Fo.%20%7D', requestInterval: 63, currentDelay: 817, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-06-12T10:33:32.909Z]  DEBUG: Delaying request { url: 'https://www.bgee.org/sparql?query=ASK%20WHERE%20%7B%20%3Fs%20%3Chttp%3A%2F%2Fpurl.org%2Fnet%2Forth%23hasHomologousMember%3E%20%3Fo.%20%7D', requestInterval: 63, currentDelay: 880, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-06-12T10:33:32.909Z]  DEBUG: Delaying request { url: 'https://www.bgee.org/sparql?query=ASK%20WHERE%20%7B%20%3Fs%20%3Chttp%3A%2F%2Fpurl.org%2Fnet%2Forth%23hasHomologousMember%3E%20%3Fo.%20%7D', requestInterval: 63, currentDelay: 943, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-06-12T10:33:32.909Z]  DEBUG: Delaying request { url: 'https://www.bgee.org/sparql?query=ASK%20WHERE%20%7B%20%3Fprotein1%20%3Chttp%3A%2F%2Fsemanticscience.org%2Fresource%2FSIO_010079%3E%20%3Fgene.%20%7D', requestInterval: 63, currentDelay: 1006, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-06-12T10:33:32.909Z]  DEBUG: Delaying request { url: 'https://www.bgee.org/sparql?query=ASK%20WHERE%20%7B%20%3Fprotein2%20%3Chttp%3A%2F%2Fwww.w3.org%2F2000%2F01%2Frdf-schema%23seeAlso%3E%20%3ForthologOmaLink.%20%7D', requestInterval: 63, currentDelay: 1069, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-06-12T10:33:32.909Z]  DEBUG: Delaying request { url: 'https://www.bgee.org/sparql?query=ASK%20WHERE%20%7B%20%3Fprotein2%20%3Chttp%3A%2F%2Fpurl.org%2Fnet%2Forth%23organism%3E%20%3Fvar2.%20%7D', requestInterval: 63, currentDelay: 1132, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-06-12T10:33:32.910Z]  DEBUG: Delaying request { url: 'https://www.bgee.org/sparql?query=ASK%20WHERE%20%7B%20%3Fvar2%20%3Chttp%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FRO_0002162%3E%20%3ForthologTaxonUri.%20%7D', requestInterval: 63, currentDelay: 1194, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-06-12T10:33:32.910Z]  DEBUG: Delaying request { url: 'https://www.bgee.org/sparql?query=ASK%20WHERE%20%7B%20%3Fprotein2%20%3Chttp%3A%2F%2Fsemanticscience.org%2Fresource%2FSIO_010079%3E%20%3ForthologGene.%20%7D', requestInterval: 63, currentDelay: 1257, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-06-12T10:33:32.910Z]  DEBUG: Delaying request { url: 'https://www.bgee.org/sparql?query=ASK%20WHERE%20%7B%20%3FclusterPrimates%20%3Chttp%3A%2F%2Fpurl.org%2Fnet%2Forth%23hasTaxonomicRange%3E%20%3FtaxRange.%20%7D', requestInterval: 63, currentDelay: 1320, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-06-12T10:33:32.910Z]  DEBUG: Delaying request { url: 'https://www.bgee.org/sparql?query=ASK%20WHERE%20%7B%20%3FtaxRange%20%3Chttp%3A%2F%2Fpurl.org%2Fnet%2Forth%23taxRange%3E%20%22Primates%22.%20%7D', requestInterval: 63, currentDelay: 1383, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-06-12T10:33:32.910Z]  DEBUG: Delaying request { url: 'https://www.bgee.org/sparql?query=ASK%20WHERE%20%7B%20%3ForthologTaxonUri%20%3Chttp%3A%2F%2Fpurl.uniprot.org%2Fcore%2FcommonName%3E%20%3ForthologTaxon.%20%7D', requestInterval: 63, currentDelay: 1446, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[90m[2026-06-12T10:33:32.910Z]  DEBUG: Delaying request { url: 'https://www.bgee.org/sparql?query=ASK%20WHERE%20%7B%20%3ForthologGene%20%3Chttp%3A%2F%2Fpurl.org%2Fdc%2Fterms%2Fidentifier%3E%20%3ForthologEnsemblGene.%20%7D', requestInterval: 63, currentDelay: 1509, actor: 'urn:comunica:default:http/actors#limit-rate' }
[0m[32m[2026-06-12T10:33:32.910Z]  INFO: Requesting https://www.bgee.org/sparql?query=ASK%20WHERE%20%7B%20%3Fgene%20%3Chttp%3A%2F%2Fwww.w3.org%2F1999%2F02%2F22-rdf-syntax-ns%23type%3E%20%3Chttp%3A%2F%2Fpurl.org%2Fnet%2Forth%23Gene%3E.%20%7D { headers: { accept: 'application/sparql-results+json;q=1.0,application/sparql-results+xml;q=0.7', 'user-agent': 'Comunica/4.0 (linux; x64) ActorHttpFetch/4.4.1 Node.js/24' }, method: 'GET', actor: 'urn:comunica:default:http/actors#fetch' }
[0m[90m[2026-06-12T10:33:32.938Z]  DEBUG: Server reported client-side error { url: 'https://www.bgee.org/sparql?query=ASK%20WHERE%20%7B%20%3Fgene%20%3Chttp%3A%2F%2Fwww.w3.org%2F1999%2F02%2F22-rdf-syntax-ns%23type%3E%20%3Chttp%3A%2F%2Fpurl.org%2Fnet%2Forth%23Gene%3E.%20%7D', status: 403, statusText: 'Forbidden', currentAttempt: '1 / 3', actor: 'urn:comunica:default:http/actors#retry' }
[0mRequest failed: https://www.bgee.org/sparql?query=ASK%20WHERE%20%7B%20%3Fgene%20%3Chttp%3A%2F%2Fwww.w3.org%2F1999%2F02%2F22-rdf-syntax-ns%23type%3E%20%3Chttp%3A%2F%2Fpurl.org%2Fnet%2Forth%23Gene%3E.%20%7D
